Source;Target;Place of sending;Place of receiving;Date of sending
skp006847;skp005975;[Leiden (nl)];?;1615-08-31
skp006847;skp029080;Leiden (nl);?;1615-12
skp006847;skp041338;[Leiden (nl)];Dordrecht (nl);1619-02-20
skp006847;epist11693;[Leiden (nl)];?;1619-07-07
skp006847;epist11539;Frankfurt am Main (de);?;1620-08
skp006847;skp004781;Leiden (nl);[Köln (de)];1624-05-04
skp004781;skp006847;Köln (de);Leiden (nl);1624-05-20
skp006847;skp004781;Leiden (nl);[Köln (de)];1624-06-02
skp004781;skp006847;Köln (de);[Leiden (nl)];1624-06-22
skp006847;skp004781;Leiden (nl);[Köln (de)];1624-07-23
skp004781;skp006847;Köln (de);[Leiden (nl)];1624-08-25
skp006847;skp004781;Leiden (nl);[Köln (de)];1625
skp006847;skp017205;Leiden (nl);?;1624
skp006847;skp024203;Leiden (nl);?;1624-12-17
skp006847;skp024203;Leiden (nl);?;1625-01-09
skp006847;skp017205;Leiden (nl);?;1625-02-20
skp006847;skp017205;Leiden (nl);?;1625
skp006847;skp026507;Leiden (nl);?;1625-02-21
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-05-07
skp006847;skp017205;Leiden (nl);?;1625-07
skp006847;skp017205;Leiden (nl);?;1625
skp006847;skp005379;Leiden (nl);?;1625-08-01
skp006847;skp017205;Leiden (nl);?;1625-08
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-09-20
skp006847;skp017205;Leiden (nl);?;1625
skp006847;epist11152;Leiden (nl);?;1625
skp006847;skp017205;Leiden (nl);?;1625-11-01
skp006847;skp024203;Leiden (nl);?;1625-11-20
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-11-16
skp006847;skp017205;Leiden (nl);?;1625-11-16
skp006847;epist11151;[Leiden (nl)];?;1625-11-24
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-11-30
skp006847;skp017205;Leiden (nl);?;1625-12-14
skp006847;skp008594;Leiden (nl);Den Haag (nl);1625-12-24
skp006847;skp009755;Leiden (nl);?;1625-12-24
skp006847;skp017205;Leiden (nl);?;1625
skp006847;epist11152;Leiden (nl);?;1626-01-01
skp006847;epist11812;Leiden (nl);?;1626-03
skp006847;skp017205;Leiden (nl);?;1627-03-10
skp006847;skp008594;Leiden (nl);[Den Haag (nl)];1626-06-21
skp006847;epist11924;Leiden (nl);?;1626-05-16
skp006847;skp034643;Leiden (nl);?;1626-05-20
skp006847;skp008594;Leiden (nl);Den Haag (nl);1626-05-16
skp006847;skp000288;Leiden (nl);?;1626-08
skp006847;skp008594;Leiden (nl);[Amsterdam (nl)];1627-03?
skp006847;skp017205;Leiden (nl);?;1626-09-10
skp006847;skp024203;Leiden (nl);?;1626-10-25
skp006847;skp017205;Leiden (nl);?;1626-11-03
skp006847;skp008594;[Leiden (nl)];Den Haag (nl);1626-12-14
skp006847;skp017205;Leiden (nl);?;1626-11
skp006847;skp043611;Leiden (nl);[Den Haag (nl)];1627-02
skp006847;skp009025;Leiden (nl);?;1627-02-18
skp006847;epist10192;Leiden (nl);?;1627-03-25
skp006847;skp001448;Leiden (nl);?;1627-04-15
skp006847;skp041426;Leiden (nl);?;1627-02-21
skp006847;skp008594;Leiden (nl);Den Haag (nl);1627-06-27
skp006847;skp000288;Leiden (nl);?;1627-05-08
skp006847;skp017205;Leiden (nl);?;1627-05-10
skp006847;skp024203;Leiden (nl);?;1627-05-26
skp006847;skp034643;Leiden (nl);?;1627-06
skp006847;skp000288;Leiden (nl);?;1627-06-12
skp006847;skp008594;Leiden (nl);Groenlo (nl);1627-08-20
skp006847;skp034261;Leiden (nl);?;1627-07-19
skp006847;skp000288;Leiden (nl);?;1627-03-20
skp006847;skp002047;Leiden (nl);?;1627-09-20
skp006847;skp024203;Leiden (nl);?;1627-10
skp006847;epist10365;Leiden (nl);?;1627-10-16
skp006847;skp017205;Leiden (nl);?;1627-11-01
skp006847;skp038724;Leiden (nl);?;1627-11-17
skp006847;skp037823;Leiden (nl);?;1627-12
skp006847;skp037823;Leiden (nl);?;1627-12
skp006847;epist11152;Leiden (nl);?;1627-12-18
skp006847;epist11181;Leiden (nl);?;1627-12-27
skp006847;skp000288;Leiden (nl);?;1627-12-28
skp006847;skp008594;Leiden (nl);Den Haag (nl);1628-01-26
skp006847;skp017205;Leiden (nl);?;1628-01-28
skp006847;skp017205;Leiden (nl);?;1628-02-01
skp006847;skp009887;Leiden (nl);?;1628-02-01
skp006847;skp008594;Leiden (nl);Den Haag (nl);1628-03-17
skp006847;skp002047;Leiden (nl);?;1628-04-01
skp006847;skp008594;Leiden (nl);Den Haag (nl);1628-04-03
skp006847;skp009025;Leiden (nl);?;1628-05-23
skp006847;skp001448;Leiden (nl);?;1628
skp006847;epist11181;Leiden (nl);?;1628-07-01
skp006847;skp013151;Leiden (nl);?;1628-08-13
skp006847;epist11238;Leiden (nl);?;1628-08-14
skp006847;skp010628;Leiden (nl);Venezia (it);1628-08-17
skp006847;skp009025;Leiden (nl);?;1628-08-17
skp006847;skp034643;Leiden (nl);?;1628-08-30
skp006847;skp020263;Leiden (nl);[Paris (fr)];1628-09-07
skp020263;skp006847;Paris (fr);[Leiden (nl)];1628-11-10
skp006847;skp000288;Leiden (nl);?;1628-09-13
skp006847;skp017205;Leiden (nl);?;1628-09-28
skp006847;skp010628;[Leiden (nl)];?;1628-10-02
skp006847;skp030987;Leiden (nl);Den Haag (nl);1628-10-20
skp006847;epist11548;Leiden (nl);?;1628-10-20
skp006847;skp017205;Leiden (nl);?;1628-11-12
skp006847;skp010628;Leiden (nl);?;1628-11-17
skp006847;skp009025;Leiden (nl);?;1628-11-17
skp006847;epist10931;[Leiden (nl)];?;1628-12-09
skp006847;skp008594;Leiden (nl);[Den Haag (nl)];1628-11-30
skp006847;skp017205;[Leiden (nl)];?;1628-12-24
skp006847;skp008594;Leiden (nl);[Den Haag (nl)];1628-12-04
skp006847;skp017205;[Leiden (nl)];?;1629-01-06
skp006847;skp000288;[Leiden (nl)];?;1629-01-06
skp006847;skp008594;Leiden (nl);Den Haag (nl);1629-01-09
skp006847;skp041338;[Leiden (nl)];Rotterdam (nl);1629-01-29
skp006847;skp041338;[Leiden (nl)];?;1629-02-01
skp006847;skp002047;Leiden (nl);?;1629-02-28
skp006847;skp020263;[Leiden (nl)];[Paris (fr)];1629-03
skp020263;skp006847;[Paris (fr)];[Leiden (nl)];1629-12-06
skp006847;skp008594;[Leiden (nl)];Den Haag (nl);1629-01-27
skp006847;skp009025;[Leiden (nl)];?;1629-05-01
skp006847;skp000288;Leiden (nl);?;1629-05-16
skp006847;epist11151;[Leiden (nl)];?;1629-05-24
skp006847;skp017205;[Leiden (nl)];?;1629-05-27
skp006847;skp039505;Leiden (nl);?;1629-06-16
skp006847;skp028727;[Leiden (nl)];?;1629-07-01
skp006847;skp026376;Leiden (nl);?;1629-08-20
skp006847;skp039505;Leiden (nl);?;1629-09-04
skp006847;skp008594;Leiden (nl);[Vught (nl)];1629-09-03
skp006847;skp008594;Leiden (nl);Den Haag (nl);1629-11-12
skp006847;skp000288;[Leiden (nl)];?;1629-11-12
skp006847;skp010628;[Leiden (nl)];?;1629-12-20
skp006847;epist10931;[Leiden (nl)];?;1629-12-21
skp006847;skp008594;Leiden (nl);Den Haag (nl);1629-11-25
skp006847;skp008594;[Leiden (nl)];Den Haag (nl);1629-12-22
skp006847;skp000288;[Leiden (nl)];?;1629-12-26
skp006847;skp027042;Leiden (nl);?;1629-12-31
skp006847;skp020263;Leiden (nl);Paris (fr);1630-03-12
skp006847;epist11872;[Leiden (nl)];?;1629-12-31
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1630-02-06
skp006847;skp038724;Leiden (nl);Amsterdam (nl);1630-03-12
skp006847;skp008594;[Leiden (nl)];Den Haag (nl);1630-03-15
skp006847;skp009025;[Leiden (nl)];?;1630-03-16
skp006847;skp014977;[Leiden (nl)];?;1630-03-17
skp006847;skp029080;Leiden (nl);?;1630-05-04
skp006847;skp000288;[Leiden (nl)];?;1630-05-05
skp006847;skp026376;Leiden (nl);?;1630-05-07
skp006847;skp008594;Leiden (nl);Den Haag (nl);1630-05-04
skp006847;skp041338;[Leiden (nl)];?;1630-06-06
skp006847;skp014977;[Leiden (nl)];?;1630-06-10
skp006847;skp035177;[Leiden (nl)];[Den Haag (nl)];1630-06-14
skp006847;skp014977;[Leiden (nl)];?;1630-07-01
skp006847;skp013151;[Leiden (nl)];?;1630-07-01
skp006847;skp041338;[Leiden (nl)];?;1630-07-01
skp006847;skp013151;[Leiden (nl)];?;1630-08-05
skp006847;skp024203;Leiden (nl);Utrecht (nl);1630-08-05
skp006847;skp017205;[Leiden (nl)];?;1630-08-20
skp006847;epist10931;[Leiden (nl)];?;1630-08-28
skp006847;skp024203;Leiden (nl);Utrecht (nl);1630-08-10
skp006847;skp009025;Leiden (nl);?;1630-09-22
skp006847;epist11812;[Leiden (nl)];?;1630-09-28
skp006847;skp009025;Leiden (nl);?;1630-10-05
skp006847;epist10931;[Leiden (nl)];?;1630-10-17
skp006847;skp029080;Leiden (nl);?;1630-12-01
skp006847;skp029080;[Leiden (nl)];?;1630-12-06
skp006847;skp029080;[Leiden (nl)];?;1630-12-19
skp006847;skp009025;[Leiden (nl)];?;1630-12-21
skp006847;epist11758;Leiden (nl);?;1630
skp006847;epist10566;[Leiden (nl)];?;1629-12-31
skp006847;skp000288;[Leiden (nl)];?;1630-12-31
skp006847;skp009025;Leiden (nl);?;1631-01-09
skp006847;skp029080;[Leiden (nl)];?;1631-01-15
skp006847;skp009025;Leiden (nl);?;1631-01-15
skp006847;skp029080;[Leiden (nl)];Den Haag (nl);1631-01-27
skp006847;skp029080;[Leiden (nl)];Den Haag (nl);1631-02-01
skp006847;skp009025;Leiden (nl);?;1631-02-02
skp006847;skp029080;[Leiden (nl)];Den Haag (nl);1631-02
skp006847;skp029080;[Leiden (nl)];Den Haag (nl);1631-03-12
skp006847;skp008594;Leiden (nl);Den Haag (nl);1631-03-19
skp006847;skp008594;Leiden (nl);Den Haag (nl);1631-03-15
skp006847;skp029080;[Leiden (nl)];Den Haag (nl);1631-03-26
skp006847;skp029080;[Leiden (nl)];Den Haag (nl);1631-03-29
skp006847;skp000288;Leiden (nl);?;1631-04-16
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1631-05-13
skp006847;skp028919;Amsterdam (nl);[Leiden (nl)];1631-05-12
skp006847;skp012382;Amsterdam (nl);?;1631-05-19
skp006847;skp037787;Amsterdam (nl);?;1631-05-20
skp006847;skp037787;Amsterdam (nl);?;1631-06-23
skp006847;skp028727;[Amsterdam (nl)];?;1631-06-24
skp006847;skp030996;Amsterdam (nl);?;1631-07-01
skp006847;skp019725;[Amsterdam (nl)];?;1631-07-03
skp006847;skp041338;[Amsterdam (nl)];?;1631-07-12
skp006847;skp029080;Amsterdam (nl);Den Haag (nl);1631-07-24
skp006847;skp042340;Amsterdam (nl);[Leiden (nl)];1631-07-26
skp006847;skp024203;[Amsterdam (nl)];?;1631-08-11
skp006847;skp001448;[Amsterdam (nl)];?;1631-08-10
skp006847;skp041338;Amsterdam (nl);?;1631-09-10
skp006847;skp003318;Amsterdam (nl);?;1631-10-20
skp006847;skp037787;[Amsterdam (nl)];?;1631-11-01
skp006847;skp037787;Amsterdam (nl);?;1631-11-15
skp006847;epist11330;Amsterdam (nl);?;1631-11-20
skp006847;skp037787;Amsterdam (nl);?;1631-12-28
skp006847;skp037787;Amsterdam (nl);?;1632-02-14
skp006847;skp037787;Amsterdam (nl);?;1632-09-01
skp006847;skp037787;Amsterdam (nl);?;1632-09-20
skp006847;skp039505;Amsterdam (nl);?;1632-10-16
skp006847;skp037787;[Amsterdam (nl)];?;1632-10-18
skp006847;skp017205;[Amsterdam (nl)];?;1632-11-14
skp006847;skp043317;Amsterdam (nl);Noordwijk (nl);1632-11-28
skp006847;skp037787;[Amsterdam (nl)];?;1632-12-10
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1632-12-12
skp006847;skp002009;Amsterdam (nl);?;1633-01-04
skp006847;skp028727;Amsterdam (nl);?;1633-01-22
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1633-03-04
skp006847;skp012029;Amsterdam (nl);Leuven (be);1633-06-24
skp006847;skp037787;Amsterdam (nl);?;1633-04-09
skp006847;skp009025;Amsterdam (nl);?;1633-05-02
skp006847;skp026221;[Amsterdam (nl)];?;1633-06-20
skp006847;skp002009;Amsterdam (nl);?;1633-07-21
skp006847;skp017205;[Amsterdam (nl)];?;1633-09-01
skp006847;epist0000;[Amsterdam (nl)];?;1633-09
skp006847;epist0000;[Amsterdam (nl)];?;1633-09
skp027262;skp006847;Dordrecht (nl);[Amsterdam (nl)];1633-10-06
skp006847;skp027262;Amsterdam (nl);?;1633-10-14
skp006847;epist10065;[Amsterdam (nl)];?;1633-10-15
skp006847;skp000684;[Amsterdam (nl)];?;1633-11-16
skp006847;skp004280;Amsterdam (nl);Frankfurt am Main (de);1633-09-10
skp006847;skp017205;[Amsterdam (nl)];?;1633-12-05
skp006847;skp008969;Amsterdam (nl);Dordrecht (nl);1633-10-14
skp006847;skp000288;[Amsterdam (nl)];?;1633-12-21
skp006847;skp023913;Amsterdam (nl);?;1633-12-22
skp006847;skp037787;[Amsterdam (nl)];Leiden (nl);1633-11-03
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1634-01-07
skp006847;skp008594;[Amsterdam (nl)];[Den Haag (nl)];1634-01-24
skp006847;skp042340;Amsterdam (nl);[Leiden (nl)];1634
skp006847;skp023632;Amsterdam (nl);[Dordrecht (nl)];1633-11-02
skp006847;skp024119;[Amsterdam (nl)];?;1634-01-11
skp006847;skp026921;[Amsterdam (nl)];?;1634-01-11
skp006847;skp023632;[Amsterdam (nl)];[Dordrecht (nl)];1633-12
skp006847;skp023632;[Amsterdam (nl)];[Dordrecht (nl)];1633-11-11
skp006847;skp026221;Amsterdam (nl);Den Haag (nl);1634-01-31
skp006847;skp009025;[Amsterdam (nl)];?;1634-03-04
skp006847;skp026221;[Amsterdam (nl)];Den Haag (nl);1634-02-28
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1634-03-05
skp006847;skp024203;Amsterdam (nl);?;1634-03-22
skp006847;epist10563;[Amsterdam (nl)];?;1634-04-06
skp006847;skp002009;[Amsterdam (nl)];?;1634-04-20
skp006847;skp039505;[Amsterdam (nl)];?;1634-05-04
skp006847;skp009025;Amsterdam (nl);?;1634-05-10
skp006847;skp026787;[Amsterdam (nl)];?;1634-05-16
skp006847;skp009025;[Amsterdam (nl)];?;1634-06-04
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1634-05-07
skp006847;skp008594;[Amsterdam (nl)];[Den Haag (nl)];1634-06-18
skp006847;skp039505;Amsterdam (nl);?;1634-06-20
skp006847;skp001987;Amsterdam (nl);?;1634-06-28
skp006847;skp026787;[Amsterdam (nl)];?;1634-07-01
skp006847;skp000288;Amsterdam (nl);?;1634-07-03
skp006847;epist10826;Amsterdam (nl);?;1634-07-08
skp006847;skp009025;[Amsterdam (nl)];?;1634-07-28
skp006847;skp009025;Amsterdam (nl);?;1634-08-13
skp006847;skp008594;Amsterdam (nl);Nijmegen (nl);1634-08-25
skp006847;skp009025;Amsterdam (nl);?;1634-09-24
skp006847;skp008594;Amsterdam (nl);Drunen (nl);1634-08-31
skp006847;skp009025;Amsterdam (nl);?;1634-10-25
skp006847;epist11519;[Amsterdam (nl)];[Den Haag (nl)];1634-09-06
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1634-10-18
skp006847;skp027262;[Amsterdam (nl)];?;1634-10-19
skp006847;skp035837;Amsterdam (nl);?;1634-11-13
skp006847;skp008594;[Amsterdam (nl)];Den Haag (nl);1634-12-01
skp006847;skp039505;Amsterdam (nl);?;1634-12-12
skp006847;epist11902;[Amsterdam (nl)];?;1634-12-24
skp006847;skp008594;Amsterdam (nl);[Arnhem (nl)];1635-12-02
skp006847;skp019725;Amsterdam (nl);?;1634-12-26
skp006847;skp026221;Amsterdam (nl);?;1634-12-27
skp006847;skp037787;[Amsterdam (nl)];Leiden (nl);1634-12-12
skp006847;skp043582;[Amsterdam (nl)];?;1634-12-29
skp006847;epist10930;[Amsterdam (nl)];?;1634-12-30
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1635-01-05
skp006847;skp009025;[Amsterdam (nl)];?;1635-01-04
skp006847;skp038724;[Amsterdam (nl)];?;1635-01-20
skp006847;skp002009;[Amsterdam (nl)];?;1635-02-10
skp006847;skp037787;[Amsterdam (nl)];Leiden (nl);1635-02-15
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1635-02-21
skp006847;skp009025;[Amsterdam (nl)];?;1635-02-21
skp006847;skp026221;[Amsterdam (nl)];?;1634-12-06
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1635-03-01
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1635-03-11
skp006847;skp000288;[Amsterdam (nl)];?;1635-03-10
skp006847;skp009025;Amsterdam (nl);?;1635-03-11
skp006847;skp026221;[Amsterdam (nl)];?;1635-03-18
skp006847;epist11519;[Amsterdam (nl)];[Den Haag (nl)];1635-03-24
skp006847;skp023632;[Amsterdam (nl)];?;1635-03-31
skp006847;skp017205;[Amsterdam (nl)];?;1635-04-09
skp006847;skp008594;[Amsterdam (nl)];[Den Haag (nl)];1635-04-10
skp006847;skp026221;[Amsterdam (nl)];Hamburg (de);1635-04-28
skp006847;skp039505;[Amsterdam (nl)];?;1635-04-25
skp006847;skp023632;[Amsterdam (nl)];?;1635-05-02
skp006847;skp026221;[Amsterdam (nl)];Hamburg (de);1635-05-05
skp006847;skp009025;[Amsterdam (nl)];?;1635-05-13
skp006847;skp042340;[Amsterdam (nl)];?;1635-05-23
skp006847;skp009025;Amsterdam (nl);?;1635-05-26
skp006847;skp001448;[Amsterdam (nl)];?;1635-06-02
skp006847;skp009025;[Amsterdam (nl)];?;1635-06-23
skp006847;epist10502;Amsterdam (nl);?;1635-06-24
skp006847;skp002009;[Amsterdam (nl)];?;1635-07-01
skp006847;skp037787;[Amsterdam (nl)];Leiden (nl);1635-07-07
skp006847;skp042340;[Amsterdam (nl)];?;1635-07-15
skp006847;skp008594;[Amsterdam (nl)];?;1635-09-03
skp006847;skp009025;[Amsterdam (nl)];?;1635-08-14
skp006847;skp043402;[Amsterdam (nl)];?;1635-09-02
skp006847;epist10826;[Amsterdam (nl)];?;1635-09-23
skp006847;skp009025;Amsterdam (nl);Dubbeldam (nl);1635-09-28
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1635-10-07
skp006847;skp038724;Amsterdam (nl);?;1635-11-25
skp006847;skp038724;Amsterdam (nl);?;1635-11-29
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1635-11-17
skp006847;skp042340;[Amsterdam (nl)];?;1635-11-24
skp006847;skp009025;Amsterdam (nl);?;1635-11-24
skp006847;skp001987;[Amsterdam (nl)];?;1635-12-04
skp006847;skp009025;[Amsterdam (nl)];?;1635-12-16
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1636-01-07
skp006847;epist11152;[Amsterdam (nl)];?;1636-01-14
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1636-01-27
skp006847;skp017205;Amsterdam (nl);?;1636-01-28
skp006847;skp037787;[Amsterdam (nl)];Leiden (nl);1636-03-07
skp006847;skp000288;Amsterdam (nl);?;1636-02-12
skp006847;skp026221;[Amsterdam (nl)];Den Haag (nl);1636-03-16
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1636-03-26
skp006847;skp024203;[Amsterdam (nl)];?;1636-03-29
skp006847;skp027262;[Amsterdam (nl)];?;1636-04-26
skp006847;epist11902;[Amsterdam (nl)];?;1636-04-27
skp006847;skp038724;[Amsterdam (nl)];?;1636-05-02
skp006847;skp037787;[Amsterdam (nl)];Leiden (nl);1636-05-25
skp006847;skp042340;Amsterdam (nl);?;1636-05-28
skp006847;skp043582;Amsterdam (nl);?;1636-06-07
skp006847;skp039505;[Amsterdam (nl)];?;1636-06-13
skp006847;skp038724;Amsterdam (nl);?;1636-06-24
skp006847;skp002009;[Amsterdam (nl)];?;1636-06-28
skp006847;skp039505;[Amsterdam (nl)];?;1636-06-26
skp006847;epist10251;[Amsterdam (nl)];?;1636-07-06
skp006847;skp038724;[Amsterdam (nl)];?;1636-07-13
skp006847;skp009025;Amsterdam (nl);?;1636-07-17
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1636-08-01
skp006847;skp038724;Amsterdam (nl);?;1636-08-05
skp006847;skp038724;Amsterdam (nl);?;1636-09-06
skp006847;skp009025;Amsterdam (nl);?;1636-09-07
skp006847;epist10915;[Amsterdam (nl)];?;1636-09-10
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1636-09-13
skp006847;skp038724;[Amsterdam (nl)];?;1636-09-22
skp006847;skp017205;[Amsterdam (nl)];?;1636-09-24
skp006847;epist11549;Amsterdam (nl);?;1636-10-05
skp006847;skp008594;[Amsterdam (nl)];?;1636-10
skp006847;skp000288;Amsterdam (nl);?;1636-10-25
skp006847;epist10915;[Amsterdam (nl)];?;1636-09-10
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1636-11-14
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1637-01-14
skp006847;skp009025;[Amsterdam (nl)];?;1637-01-17
skp006847;skp009025;Amsterdam (nl);?;1637-03-10
skp006847;epist10007;Amsterdam (nl);?;1637-03-18
skp006847;skp027262;[Amsterdam (nl)];?;1637-04-05
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1637-05-16
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1637-05-24
skp006847;epist10794;Amsterdam (nl);?;1637-06-14
skp006847;skp042340;[Amsterdam (nl)];?;1637-06-16
skp006847;epist10248;Amsterdam (nl);?;1637-07-03
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1637-07-24
skp006847;skp039505;Amsterdam (nl);?;1637-07-24
skp006847;skp000288;Amsterdam (nl);?;1637-07-25
skp006847;skp009025;Amsterdam (nl);?;1637-08-24
skp006847;skp009025;Amsterdam (nl);?;1637-10-23
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1637-11-19
skp006847;skp038724;Amsterdam (nl);?;1638-05-14
skp006847;skp026221;Amsterdam (nl);Paris (fr);1638-05-16
skp006847;skp026221;Amsterdam (nl);?;1638-06-04
skp006847;skp037787;Amsterdam (nl);Leiden (nl);1638-06-09
skp006847;skp026221;Amsterdam (nl);Freiburg (de);1638-06-18
skp006847;skp038724;Amsterdam (nl);?;1638-07-19
skp006847;skp026221;Amsterdam (nl);?;1638-07-28
skp006847;skp038724;Amsterdam (nl);?;1638-08-22
skp006847;skp038724;Amsterdam (nl);?;1638-08-28
skp006847;skp026221;Amsterdam (nl);?;1638-09-16
skp006847;epist10248;Amsterdam (nl);?;1638-10-06
skp006847;skp028727;[Amsterdam (nl)];?;1639-01-10
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1639-01-20
skp006847;skp026221;Amsterdam (nl);Paris (fr);1639-01-22
skp006847;skp002009;Amsterdam (nl);?;1639
skp006847;skp029080;Amsterdam (nl);?;1639-03-16
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1639-03-26
skp006847;skp043450;Amsterdam (nl);?;1639-04-02
skp006847;skp038724;Amsterdam (nl);?;1639-05-18
skp006847;epist10915;Amsterdam (nl);?;1639-06-04
skp006847;skp026221;Koudekerk a/d Rijn (nl);?;1639-06-13
skp006847;epist10923;Amsterdam (nl);?;1639-06-25
skp006847;skp038724;Amsterdam (nl);?;1639-07-09
skp006847;skp005190;Amsterdam (nl);?;1639-07-26
skp006847;skp038724;Amsterdam (nl);?;1639-07-16
skp006847;epist10660;Amsterdam (nl);?;1639-07-29
skp006847;skp038724;Amsterdam (nl);?;1639-08-01
skp006847;skp005190;Amsterdam (nl);?;1639-08
skp006847;epist10660;Amsterdam (nl);?;1639-08-02
skp006847;epist10660;Amsterdam (nl);?;1639
skp006847;skp039688;Amsterdam (nl);?;1639-09-26
skp006847;skp038724;[Amsterdam (nl)];?;1639-09-28
skp020263;skp006847;Paris (fr);[Amsterdam (nl)];1639-08-27
skp006847;skp020263;Amsterdam (nl);[Paris (fr)];1639-09-30
skp020263;skp006847;Paris (fr);[Amsterdam (nl)];1639-10-22
skp006847;skp008594;[Amsterdam (nl)];Den Haag (nl);1639-12
skp006847;skp026221;[Amsterdam (nl)];?;1639-12-02
skp006847;epist10659;Amsterdam (nl);?;1639-12-19
skp006847;skp028081;Amsterdam (nl);?;1639-12-15
skp006847;epist10660;Amsterdam (nl);?;1639-12-24
skp006847;skp023632;Amsterdam (nl);?;1640-01-03
skp006847;skp027262;Amsterdam (nl);[Dordrecht (nl)];1640-01-07
skp006847;skp043450;[Amsterdam (nl)];?;1640-03-07
skp006847;skp009025;Amsterdam (nl);?;1640-03-10
skp006847;epist10656;Amsterdam (nl);?;1640-02-01
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1640-04-13
skp006847;skp009802;[Amsterdam (nl)];Leiden (nl);1640-06-03
skp006847;skp038724;Amsterdam (nl);?;1640-06-12
skp006847;skp009802;Amsterdam (nl);Koudekerk a/d Rijn (nl);1640-09-12
skp006847;skp038724;Amsterdam (nl);?;1640-07-31
skp006847;skp026221;Koudekerk a/d Rijn (nl);?;1640-08-12
skp006847;skp043450;?;?;?
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1641-01-30
skp006847;skp009025;Amsterdam (nl);?;1641-02-16
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1641-02-26
skp006847;skp009025;Amsterdam (nl);?;1641-04-07
skp006847;skp023913;Amsterdam (nl);?;1641-04-11
skp006847;epist10248;Amsterdam (nl);?;1641-04-27
skp006847;skp023632;Amsterdam (nl);?;1641-06-17
skp006847;skp009025;Amsterdam (nl);?;1641-06-18
skp006847;skp008594;Amsterdam (nl);[Oeffelt (nl)];1641-07-09
skp006847;skp026221;[Amsterdam (nl)];?;1641-07-10
skp006847;skp026221;Amsterdam (nl);?;1641-09-01
skp006847;skp038724;Amsterdam (nl);?;1641-09-13
skp006847;epist11872;[Amsterdam (nl)];?;1641-10-06
skp006847;skp026221;Amsterdam (nl);Wassenaar (nl);1641-10-04
skp006847;skp026221;Amsterdam (nl);Wassenaar (nl);1641-11-10
skp006847;skp003969;Amsterdam (nl);?;1641-11-16
skp006847;epist10660;Amsterdam (nl);?;1641-12-11
skp006847;skp008594;[Amsterdam (nl)];Den Haag (nl);1641-12-15
skp006847;skp024878;Amsterdam (nl);?;1642-01-10
skp006847;epist10660;Amsterdam (nl);?;1642-01-16
skp006847;skp026221;Amsterdam (nl);?;1642-01-25
skp006847;epist11267;Amsterdam (nl);?;1642-02-21
skp006847;skp009025;Amsterdam (nl);?;1642-03-10
skp006847;skp026221;Amsterdam (nl);?;1642-03-10
skp006847;skp012029;Amsterdam (nl);?;1642-03-31
skp006847;skp008594;Amsterdam (nl);[Den Haag (nl)];1642-04-06
epist11699;skp006847;Paris (fr);[Amsterdam (nl)];1642-01-25
skp006847;epist11699;Amsterdam (nl);?;1642-05-12
skp006847;skp024878;Amsterdam (nl);?;1642-05-24
skp006847;epist11267;Amsterdam (nl);Edinburgh (gb);1642-06-26
skp006847;skp023913;[Amsterdam (nl)];?;1642-07-15
skp006847;skp024203;[Amsterdam (nl)];?;1642-06-30
skp006847;skp024878;[Amsterdam (nl)];?;1642
skp006847;skp039688;Amsterdam (nl);?;1642-08-20
skp006847;skp023913;Amsterdam (nl);?;1642-10-03
skp006847;skp008594;Amsterdam (nl);Den Haag (nl);1642-10-05
